排名,电影链接,海报链接,名字,国家,发行年份,类型,导演,评分,评分人数
1,https://movie.douban.com/subject/1292052/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,肖申克的救赎,美国,1994,犯罪 剧情                        ,弗兰克·德拉邦特 Frank Darabont,9.7,2637239人评价
2,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,霸王别姬,中国大陆,1993,剧情 爱情 同性                        ,陈凯歌 Kaige Chen,9.6,1958785人评价
3,https://movie.douban.com/subject/1292720/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,阿甘正传,美国,1994,剧情 爱情                        ,罗伯特·泽米吉斯 Robert Zemeckis,9.5,1982457人评价
4,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,泰坦尼克号,美国,1997,剧情 爱情 灾难                        ,詹姆斯·卡梅隆 James Cameron,9.4,1942740人评价
5,https://movie.douban.com/subject/1295644/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,这个杀手不太冷,法国,1994,剧情 动作 犯罪                        ,吕克·贝松 Luc Besson,9.4,2132376人评价
6,https://movie.douban.com/subject/1292063/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,美丽人生,意大利,1997,剧情 喜剧 爱情 战争                        ,罗伯托·贝尼尼 Roberto Benigni,9.6,1218367人评价
7,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,千与千寻,日本,2001,剧情 动画 奇幻                        ,宫崎骏 Hayao Miyazaki,9.4,2058739人评价
8,https://movie.douban.com/subject/1295124/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,辛德勒的名单,美国,1993,剧情 历史 战争                        ,史蒂文·斯皮尔伯格 Steven Spielberg,9.6,1016442人评价
9,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,盗梦空间,美国,2010,剧情 科幻 悬疑 冒险                        ,克里斯托弗·诺兰 Christopher Nolan,9.4,1899250人评价
10,https://movie.douban.com/subject/1889243/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,星际穿越,美国,2014,剧情 科幻 冒险                        ,克里斯托弗·诺兰 Christopher Nolan,9.4,1592861人评价
11,https://movie.douban.com/subject/3011091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,忠犬八公的故事,美国,2009,剧情                        ,莱塞·霍尔斯道姆 Lasse Hallström,9.4,1298657人评价
12,https://movie.douban.com/subject/1292064/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,楚门的世界,美国,1998,剧情 科幻                        ,彼得·威尔 Peter Weir,9.3,1515243人评价
13,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,海上钢琴师,意大利,1998,剧情 音乐                        ,朱塞佩·托纳多雷 Giuseppe Tornatore,9.3,1545411人评价
14,https://movie.douban.com/subject/3793023/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,三傻大闹宝莱坞,印度,2009,剧情 喜剧 爱情 歌舞                        ,拉库马·希拉尼 Rajkumar Hirani,9.2,1722580人评价
15,https://movie.douban.com/subject/2131459/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,机器人总动员,美国,2008,科幻 动画 冒险                        ,安德鲁·斯坦顿 Andrew Stanton,9.3,1216610人评价
16,https://movie.douban.com/subject/1291549/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,放牛班的春天,法国,2004,剧情 喜剧 音乐                        ,克里斯托夫·巴拉蒂 Christophe Barratier,9.3,1201916人评价
17,https://movie.douban.com/subject/1307914/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,无间道,中国香港,2002,剧情 犯罪 惊悚                        ,刘伟强 / 麦兆辉,9.3,1222557人评价
18,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,疯狂动物城,美国,2016,喜剧 动画 冒险                        ,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,9.2,1738367人评价
19,https://movie.douban.com/subject/1292213/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,大话西游之大圣娶亲,中国香港,1995,喜剧 爱情 奇幻 古装                        ,刘镇伟 Jeffrey Lau,9.2,1410731人评价
20,https://movie.douban.com/subject/5912992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,熔炉,韩国,2011,剧情                        ,黄东赫 Dong-hyuk Hwang,9.3,859243人评价
21,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,控方证人,美国,1957,剧情 犯罪 悬疑                        ,比利·怀尔德 Billy Wilder,9.6,468200人评价
22,https://movie.douban.com/subject/1291841/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,教父,美国,1972,剧情 犯罪                        ,弗朗西斯·福特·科波拉 Francis Ford Coppola,9.3,876385人评价
23,https://movie.douban.com/subject/1849031/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,当幸福来敲门,美国,2006,剧情 传记 家庭                        ,加布里尔·穆奇诺 Gabriele Muccino,9.2,1400428人评价
24,https://movie.douban.com/subject/6786002/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,触不可及,法国,2011,剧情 喜剧                        ,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,9.3,983574人评价
25,https://movie.douban.com/subject/3319755/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,怦然心动,美国,2010,剧情 喜剧 爱情                        ,罗伯·莱纳 Rob Reiner,9.1,1680121人评价
26,https://movie.douban.com/subject/1291560/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,龙猫,日本,1988,动画 奇幻 冒险                        ,宫崎骏 Hayao Miyazaki,9.2,1163577人评价
27,https://movie.douban.com/subject/1293172/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,末代皇帝,英国,1987,剧情 传记 历史                        ,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,9.3,785208人评价
28,https://movie.douban.com/subject/20495023/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg,寻梦环游记,美国,2017,喜剧 动画 奇幻 音乐                        ,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,9.1,1499731人评价
29,https://movie.douban.com/subject/1851857/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,蝙蝠侠：黑暗骑士,美国,2008,剧情 动作 科幻 犯罪 惊悚                        ,克里斯托弗·诺兰 Christopher Nolan,9.2,970251人评价
30,https://movie.douban.com/subject/1292365/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,活着,中国大陆,1994,剧情 历史 家庭                        ,张艺谋 Yimou Zhang,9.3,756780人评价
31,https://movie.douban.com/subject/1295038/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,哈利·波特与魔法石,美国,2001,奇幻 冒险                        ,Chris Columbus,9.1,1055082人评价
32,https://movie.douban.com/subject/1291552/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,指环王3：王者无敌,美国,2003,剧情 动作 奇幻 冒险                        ,彼得·杰克逊 Peter Jackson,9.3,734022人评价
33,https://movie.douban.com/subject/1300267/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,乱世佳人,美国,1939,剧情 历史 爱情 战争                        ,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,9.3,633647人评价
34,https://movie.douban.com/subject/21937452/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,素媛,韩国,2013,剧情                        ,李濬益 Jun-ik Lee,9.3,622905人评价
35,https://movie.douban.com/subject/2129039/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2363116942.jpg,飞屋环游记,美国,2009,剧情 喜剧 动画 冒险                        ,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,9.1,1217740人评价
36,https://movie.douban.com/subject/26387939/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,摔跤吧！爸爸,印度,2016,剧情 传记 运动 家庭                        ,涅提·蒂瓦里 Nitesh Tiwari,9.0,1446681人评价
37,https://movie.douban.com/subject/26752088/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,我不是药神,中国大陆,2018,剧情 喜剧                        ,文牧野 Muye Wen,9.0,1928267人评价
38,https://movie.douban.com/subject/30170448/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,何以为家,黎巴嫩,2018,剧情                        ,娜丁·拉巴基 Nadine Labaki,9.1,950170人评价
39,https://movie.douban.com/subject/1293182/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,十二怒汉,美国,1957,剧情                        ,Sidney Lumet,9.4,437693人评价
40,https://movie.douban.com/subject/1308807/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,哈尔的移动城堡,日本,2004,动画 奇幻 冒险                        ,宫崎骏 Hayao Miyazaki,9.1,923399人评价
41,https://movie.douban.com/subject/1929463/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,少年派的奇幻漂流,美国,2012,剧情 奇幻 冒险                        ,李安 Ang Lee,9.1,1252026人评价
42,https://movie.douban.com/subject/1291858/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,鬼子来了,中国大陆,2000,剧情 喜剧                        ,姜文 Wen Jiang,9.3,568523人评价
43,https://movie.douban.com/subject/1305487/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,猫鼠游戏,美国,2002,传记 犯罪 剧情                        ,史蒂文·斯皮尔伯格 Steven Spielberg,9.1,895880人评价
44,https://movie.douban.com/subject/1299398/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,大话西游之月光宝盒,中国香港,1995,喜剧 爱情 奇幻 古装                        ,刘镇伟 Jeffrey Lau,9.0,1124733人评价
45,https://movie.douban.com/subject/1291583/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,天空之城,日本,1986,动画 奇幻 冒险                        ,宫崎骏 Hayao Miyazaki,9.1,755601人评价
46,https://movie.douban.com/subject/1296736/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,钢琴家,英国,2002,剧情 传记 战争 音乐                        ,罗曼·波兰斯基 Roman Polanski,9.3,554688人评价
47,https://movie.douban.com/subject/1298624/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,闻香识女人,美国,1992,剧情                        ,马丁·布莱斯 Martin Brest,9.1,800068人评价
48,https://movie.douban.com/subject/1291572/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,指环王2：双塔奇兵,美国,2002,剧情 动作 奇幻 冒险                        ,彼得·杰克逊 Peter Jackson,9.2,685441人评价
49,https://movie.douban.com/subject/1291828/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,天堂电影院,意大利,1988,剧情 爱情                        ,朱塞佩·托纳多雷 Giuseppe Tornatore,9.2,633282人评价
50,https://movie.douban.com/subject/3742360/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,让子弹飞,中国大陆,2010,剧情 喜剧 动作 西部                        ,姜文 Wen Jiang,8.9,1532668人评价
51,https://movie.douban.com/subject/1293839/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,罗马假日,美国,1953,喜剧 剧情 爱情                        ,威廉·惠勒 William Wyler,9.1,882187人评价
52,https://movie.douban.com/subject/25958717/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,海蒂和爷爷,德国,2015,剧情 冒险 家庭                        ,阿兰·葛斯彭纳 Alain Gsponer,9.3,500580人评价
53,https://movie.douban.com/subject/1291843/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,黑客帝国,美国,1999,动作 科幻                        ,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,9.1,771201人评价
54,https://movie.douban.com/subject/1291571/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2373910134.jpg,指环王1：护戒使者,新西兰,2001,剧情 动作 奇幻 冒险                        ,彼得·杰克逊 Peter Jackson,9.1,774365人评价
55,https://movie.douban.com/subject/1418019/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,大闹天宫,1964(中国大陆),1961(中国大陆),剧情 动画 奇幻 古装                        ,万籁鸣 Laiming Wan,9.4,389467人评价
56,https://movie.douban.com/subject/1291548/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,死亡诗社,美国,1989,剧情                        ,彼得·威尔 Peter Weir,9.1,646707人评价
57,https://movie.douban.com/subject/1299131/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,教父2,美国,1974,剧情 犯罪                        ,弗朗西斯·福特·科波拉 Francis Ford Coppola,9.2,496803人评价
58,https://movie.douban.com/subject/21937445/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,辩护人,韩国,2013,剧情                        ,杨宇硕 Woo-seok Yang,9.2,546013人评价
59,https://movie.douban.com/subject/27060077/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,绿皮书,美国,2018,剧情 喜剧 传记 音乐                        ,彼得·法雷里 Peter Farrelly,8.9,1476886人评价
60,https://movie.douban.com/subject/1301753/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,狮子王,美国,1994,动画 冒险 歌舞                        ,Roger Allers / 罗伯·明可夫 Rob Minkoff,9.1,763629人评价
61,https://movie.douban.com/subject/1292000/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,搏击俱乐部,美国,1999,剧情 动作 悬疑 惊悚                        ,大卫·芬奇 David Fincher,9.0,779492人评价
62,https://movie.douban.com/subject/1291818/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,饮食男女,中国台湾,1994,剧情 家庭                        ,李安 Ang Lee,9.2,558793人评价
63,https://movie.douban.com/subject/1306029/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,美丽心灵,美国,2001,传记 剧情                        ,朗·霍华德 Ron Howard,9.1,705381人评价
64,https://movie.douban.com/subject/1485260/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,本杰明·巴顿奇事,美国,2008,剧情 爱情 奇幻                        ,大卫·芬奇 David Fincher,9.0,905485人评价
65,https://movie.douban.com/subject/1900841/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,窃听风暴,德国,2006,剧情 悬疑                        ,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,9.2,517080人评价
66,https://movie.douban.com/subject/3008247/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,穿条纹睡衣的男孩,英国,2008,剧情 战争                        ,马克·赫尔曼 Mark Herman,9.2,501243人评价
67,https://movie.douban.com/subject/1292220/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,情书,日本,1995,剧情 爱情                        ,岩井俊二 Shunji Iwai,8.9,989276人评价
68,https://movie.douban.com/subject/1293350/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,两杆大烟枪,英国,1998,剧情 喜剧 犯罪                        ,Guy Ritchie,9.1,550819人评价
69,https://movie.douban.com/subject/1292402/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,西西里的美丽传说,意大利,2000,剧情 战争 情色                        ,朱塞佩·托纳多雷 Giuseppe Tornatore,8.9,895993人评价
70,https://movie.douban.com/subject/26580232/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,看不见的客人,西班牙,2016,剧情 犯罪 悬疑 惊悚                        ,奥里奥尔·保罗 Oriol Paulo,8.8,1143403人评价
71,https://movie.douban.com/subject/1292849/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,拯救大兵瑞恩,美国,1998,剧情 战争                        ,史蒂文·斯皮尔伯格 Steven Spielberg,9.1,594037人评价
72,https://movie.douban.com/subject/1294408/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,音乐之声,美国,1965,剧情 传记 爱情 歌舞                        ,罗伯特·怀斯 Robert Wise,9.1,549754人评价
73,https://movie.douban.com/subject/1292224/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,飞越疯人院,美国,1975,剧情                        ,米洛斯·福尔曼 Miloš Forman,9.1,511312人评价
74,https://movie.douban.com/subject/1303021/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,小鞋子,伊朗,1997,剧情 儿童 家庭                        ,马基德·马基迪 Majid Majidi,9.2,374087人评价
75,https://movie.douban.com/subject/1652587/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.jpg,阿凡达,美国,2009,动作 科幻 冒险                        ,詹姆斯·卡梅隆 James Cameron,8.8,1273292人评价
76,https://movie.douban.com/subject/3011235/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,哈利·波特与死亡圣器(下),美国,2011,奇幻 冒险                        ,大卫·叶茨 David Yates,8.9,745596人评价
77,https://movie.douban.com/subject/1293544/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,沉默的羔羊,美国,1991,剧情 犯罪 惊悚                        ,乔纳森·戴米 Jonathan Demme,8.9,803469人评价
78,https://movie.douban.com/subject/3442220/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,海豚湾,美国,2009,纪录片                        ,路易·西霍尤斯 Louie Psihoyos,9.3,337407人评价
79,https://movie.douban.com/subject/1780330/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,致命魔术,英国,2006,剧情 悬疑 惊悚                        ,克里斯托弗·诺兰 Christopher Nolan,8.9,787054人评价
80,https://movie.douban.com/subject/2334904/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,禁闭岛,美国,2010,剧情 悬疑 惊悚                        ,Martin Scorsese,8.8,884233人评价
81,https://movie.douban.com/subject/11525673/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,布达佩斯大饭店,美国,2014,剧情 喜剧 冒险                        ,韦斯·安德森 Wes Anderson,8.9,838404人评价
82,https://movie.douban.com/subject/1292343/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,蝴蝶效应,美国,2004,剧情 悬疑 科幻 惊悚                        ,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,8.8,858217人评价
83,https://movie.douban.com/subject/1292262/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,美国往事,美国,1984,犯罪 剧情                        ,赛尔乔·莱翁内 Sergio Leone,9.2,379122人评价
